date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2025-03-16,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-17,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,62,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-18,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-19,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,72,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-20,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,73,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-21,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,74,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-22,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,65,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-23,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,60,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-24,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,61,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-25,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,62,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-26,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,63,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-27,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-28,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,72,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-29,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,78,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-30,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,78,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-03-31,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,80,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-04-01,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,79,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-04-02,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,87,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-04-03,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,93,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-04-04,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,95,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-04-05,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,93,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
